TrendID,ProductCategory,Year,Quarter,Region,SalesGrowthRate,CustomerSatisfactionIndex,CompetitorPerformance,MarketShare,PromotionEffectivenessIndex,AverageSellingPrice,NewEntrants,MarketDemand,SeasonalVariation,EconomicFactors
1,Smartphones,2023,Q1,North America,5.6,85,4.5,20,78,699,2,High,Medium,Positive
2,Smartphones,2023,Q2,North America,4.8,87,4.2,19,80,689,1,Medium,Low,Stable
3,Smartphones,2023,Q3,North America,6.3,88,4.8,21,83,710,3,High,High,Positive
4,Smartphones,2023,Q4,North America,5.1,86,4.4,20,79,702,2,Medium,Medium,Negative
5,Tablets,2023,Q1,North America,3.4,82,3.9,15,72,499,2,High,Medium,Positive
6,Tablets,2023,Q2,North America,2.8,81,3.7,14,70,495,1,Medium,Low,Stable
7,Tablets,2023,Q3,North America,3.9,83,4.1,16,74,505,3,High,High,Positive
8,Tablets,2023,Q4,North America,3.5,82,3.8,15,73,500,2,Medium,Medium,Negative
9,Laptops,2023,Q1,North America,4.2,84,4.0,18,75,899,2,High,Medium,Positive
10,Laptops,2023,Q2,North America,3.7,83,3.8,17,74,885,1,Medium,Low,Stable
11,Laptops,2023,Q3,North America,4.8,85,4.3,19,77,910,3,High,High,Positive
12,Laptops,2023,Q4,North America,4.3,84,4.0,18,76,900,2,Medium,Medium,Negative
13,Smartphones,2024,Q1,North America,5.9,87,4.6,21,82,705,2,High,Medium,Positive
14,Smartphones,2024,Q2,North America,5.2,88,4.3,20,84,695,1,Medium,Low,Stable
15,Smartphones,2024,Q3,North America,6.7,89,4.9,22,87,715,3,High,High,Positive
16,Smartphones,2024,Q4,North America,5.4,87,4.5,21,83,707,2,Medium,Medium,Negative
17,Tablets,2024,Q1,North America,3.7,83,4.0,16,76,505,2,High,Medium,Positive
18,Tablets,2024,Q2,North America,3.0,82,3.8,15,74,501,1,Medium,Low,Stable
19,Tablets,2024,Q3,North America,4.2,84,4.2,17,78,510,3,High,High,Positive
20,Tablets,2024,Q4,North America,3.8,83,3.9,16,77,505,2,Medium,Medium,Negative
21,Laptops,2024,Q1,North America,4.5,85,4.1,19,79,905,2,High,Medium,Positive
22,Laptops,2024,Q2,North America,4.0,84,3.9,18,78,890,1,Medium,Low,Stable
23,Laptops,2024,Q3,North America,5.1,86,4.4,20,81,915,3,High,High,Positive
24,Laptops,2024,Q4,North America,4.6,85,4.1,19,80,905,2,Medium,Medium,Negative
25,Smartphones,2023,Q1,Europe,6.2,84,4.7,22,85,720,3,High,High,Stable
26,Smartphones,2023,Q2,Europe,5.7,85,4.5,21,84,710,2,Medium,Medium,Positive
27,Smartphones,2023,Q3,Europe,7.0,86,4.9,23,88,730,4,High,High,Positive
28,Smartphones,2023,Q4,Europe,6.4,85,4.6,22,86,725,3,Medium,Medium,Negative
29,Tablets,2023,Q1,Europe,4.0,81,4.1,17,79,515,3,High,High,Stable
30,Tablets,2023,Q2,Europe,3.4,80,3.9,16,77,510,2,Medium,Medium,Positive
31,Tablets,2023,Q3,Europe,4.5,82,4.3,18,81,520,4,High,High,Positive
32,Tablets,2023,Q4,Europe,4.1,81,4.0,17,80,515,3,Medium,Medium,Negative
33,Laptops,2023,Q1,Europe,4.7,83,4.2,20,82,920,3,High,High,Stable
34,Laptops,2023,Q2,Europe,4.2,82,4.0,19,81,910,2,Medium,Medium,Positive
35,Laptops,2023,Q3,Europe,5.4,84,4.5,21,85,930,4,High,High,Positive
36,Laptops,2023,Q4,Europe,4.8,83,4.2,20,83,920,3,Medium,Medium,Negative
37,Smartphones,2024,Q1,Europe,6.5,85,4.8,23,87,725,3,High,High,Stable
38,Smartphones,2024,Q2,Europe,6.0,86,4.6,22,86,715,2,Medium,Medium,Positive
39,Smartphones,2024,Q3,Europe,7.3,87,5.0,24,90,735,4,High,High,Positive
40,Smartphones,2024,Q4,Europe,6.7,86,4.7,23,88,730,3,Medium,Medium,Negative
41,Tablets,2024,Q1,Europe,4.3,82,4.2,18,83,520,3,High,High,Stable
